rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0130.jpg,52.0,0.5958,0.5987,0.375,0.92,6,3,False,False
77,frame_0314.jpg,125.6,0.5951,0.7831,0.625,0.08,9,5,False,False
78,frame_0082.jpg,32.8,0.595,0.5429,0.625,0.68,6,5,False,False
79,frame_0113.jpg,45.2,0.5942,0.7174,0.625,0.24,8,5,False,False
80,frame_0069.jpg,27.6,0.5938,0.6376,0.25,1.0,5,2,False,False
81,frame_0293.jpg,117.2,0.5935,0.6579,0.375,0.76,6,3,False,False
82,frame_0027.jpg,10.8,0.5927,0.5603,0.375,1.0,7,3,False,False
83,frame_0118.jpg,47.2,0.5925,0.6339,0.625,0.44,8,5,False,False
84,frame_0129.jpg,51.6,0.5893,0.6015,0.375,0.88,8,3,False,False
85,frame_0323.jpg,129.2,0.5883,0.6035,0.875,0.12,9,7,False,False
86,frame_0013.jpg,5.2,0.5867,0.5484,0.375,1.0,4,3,False,False
87,frame_0378.jpg,151.2,0.5863,0.7656,0.625,0.08,11,5,False,False
88,frame_0123.jpg,49.2,0.584,0.612,0.5,0.64,7,4,False,False
89,frame_0298.jpg,119.2,0.5837,0.6434,0.5,0.56,8,4,False,False
90,frame_0116.jpg,46.4,0.5831,0.6472,0.625,0.36,9,5,False,False
91,frame_0100.jpg,40.0,0.5829,0.6999,0.75,0.04,8,6,False,False
92,frame_0307.jpg,122.8,0.5829,0.7858,0.5,0.2,12,4,False,False
93,frame_0089.jpg,35.6,0.578,0.7711,0.375,0.4,6,3,False,False
94,frame_0006.jpg,2.4,0.5774,0.5298,0.375,1.0,5,3,False,False
95,frame_0285.jpg,114.0,0.5772,0.6894,0.375,0.6,6,3,False,False
96,frame_0119.jpg,47.6,0.5759,0.5848,0.625,0.48,9,5,False,False
97,frame_0120.jpg,48.0,0.5758,0.7187,0.375,0.52,6,3,False,False
98,frame_0375.jpg,150.0,0.5754,0.7707,0.5,0.2,8,4,False,False
99,frame_0321.jpg,128.4,0.5743,0.9186,0.25,0.2,9,2,False,False
100,frame_0170.jpg,68.0,0.574,0.656,0.5,0.48,7,4,False,False
101,frame_0008.jpg,3.2,0.5719,0.5189,0.375,1.0,4,3,False,False
102,frame_0297.jpg,118.8,0.5719,0.6789,0.375,0.6,6,3,False,False
103,frame_0125.jpg,50.0,0.5715,0.63,0.375,0.72,8,3,False,False
104,frame_0379.jpg,151.6,0.5712,0.7514,0.625,0.04,10,5,False,False
105,frame_0009.jpg,3.6,0.5711,0.5921,0.25,1.0,3,2,False,False
106,frame_0302.jpg,120.8,0.5708,0.6816,0.5,0.4,7,4,False,False
107,frame_0268.jpg,107.2,0.5694,0.7317,0.625,0.08,7,5,False,False
108,frame_0318.jpg,127.2,0.5682,0.8153,0.375,0.24,8,3,False,False
109,frame_0131.jpg,52.4,0.568,0.527,0.375,0.96,6,3,False,False
110,frame_0309.jpg,123.6,0.566,0.634,0.75,0.12,7,6,False,False
111,frame_0028.jpg,11.2,0.5642,0.5034,0.375,1.0,5,3,False,False
112,frame_0386.jpg,154.4,0.564,0.6569,0.625,0.24,12,5,False,False
113,frame_0398.jpg,159.2,0.564,0.732,0.5,0.24,11,4,False,False
114,frame_0193.jpg,77.2,0.563,0.655,0.625,0.24,7,5,False,False
115,frame_0085.jpg,34.0,0.5628,0.5266,0.625,0.56,6,5,False,False
116,frame_0203.jpg,81.2,0.5625,0.644,0.375,0.64,4,3,False,False
117,frame_0178.jpg,71.2,0.5613,0.7586,0.5,0.16,7,4,False,False
118,frame_0184.jpg,73.6,0.5608,0.7897,0.5,0.08,9,4,False,False
119,frame_0086.jpg,34.4,0.5604,0.6878,0.375,0.52,6,3,False,False
120,frame_0169.jpg,67.6,0.5571,0.6812,0.375,0.52,9,3,False,False
121,frame_0070.jpg,28.0,0.5551,0.5601,0.25,1.0,8,2,False,False
122,frame_0232.jpg,92.8,0.5542,0.6533,0.625,0.2,6,5,False,False
123,frame_0015.jpg,6.0,0.5539,0.4829,0.375,1.0,5,3,False,False
124,frame_0395.jpg,158.0,0.5534,0.8337,0.375,0.12,10,3,False,False
125,frame_0186.jpg,74.4,0.552,0.6381,0.75,0.04,10,6,False,False
126,frame_0381.jpg,152.4,0.5486,0.5562,0.875,0.04,10,7,False,False
127,frame_0233.jpg,93.2,0.5399,0.6838,0.5,0.24,9,4,False,False
128,frame_0024.jpg,9.6,0.5387,0.4523,0.375,1.0,5,3,False,False
129,frame_0094.jpg,37.6,0.5383,0.6967,0.5,0.2,10,4,False,False
130,frame_0202.jpg,80.8,0.538,0.6111,0.375,0.6,4,3,False,False
131,frame_0185.jpg,74.0,0.5371,0.6671,0.625,0.08,10,5,False,False
132,frame_0228.jpg,91.2,0.5363,0.6815,0.625,0.04,10,5,False,False
133,frame_0132.jpg,52.8,0.5342,0.4434,0.375,1.0,9,3,False,False
134,frame_0083.jpg,33.2,0.5339,0.5118,0.5,0.64,5,4,False,False
135,frame_0382.jpg,152.8,0.5315,0.581,0.75,0.08,10,6,False,False
136,frame_0290.jpg,116.0,0.5298,0.5146,0.375,0.8,6,3,False,False
137,frame_0188.jpg,75.2,0.5292,0.6673,0.625,0.04,8,5,False,False
138,frame_0299.jpg,119.6,0.5292,0.6253,0.375,0.52,8,3,False,False
139,frame_0022.jpg,8.8,0.5285,0.432,0.375,1.0,7,3,False,False
140,frame_0189.jpg,75.6,0.5266,0.6461,0.625,0.08,5,5,False,False
141,frame_0289.jpg,115.6,0.5222,0.5904,0.25,0.76,7,2,False,False
142,frame_0308.jpg,123.2,0.521,0.6029,0.625,0.16,10,5,False,False
143,frame_0090.jpg,36.0,0.5206,0.5972,0.5,0.36,8,4,False,False
144,frame_0376.jpg,150.4,0.5161,0.8183,0.25,0.16,10,2,False,False
145,frame_0093.jpg,37.2,0.514,0.6319,0.5,0.24,7,4,False,False
146,frame_0304.jpg,121.6,0.5132,0.5234,0.625,0.32,7,5,False,False
147,frame_0172.jpg,68.8,0.5115,0.5631,0.5,0.4,6,4,False,False
148,frame_0103.jpg,41.2,0.5109,0.5828,0.625,0.16,6,5,False,False
149,frame_0324.jpg,129.6,0.5108,0.6146,0.625,0.08,8,5,False,False
150,frame_0373.jpg,149.2,0.5103,0.6567,0.5,0.16,8,4,False,False
151,frame_0325.jpg,130.0,0.5085,0.776,0.375,0.04,8,3,False,False
152,frame_0011.jpg,4.4,0.5083,0.5417,0.125,1.0,4,1,False,False
153,frame_0081.jpg,32.4,0.5082,0.5785,0.25,0.72,8,2,False,False
154,frame_0374.jpg,149.6,0.5082,0.6365,0.5,0.2,10,4,False,False
155,frame_0115.jpg,46.0,0.5071,0.7361,0.25,0.32,6,2,False,False
156,frame_0017.jpg,6.8,0.5063,0.3876,0.375,1.0,7,3,False,False
157,frame_0167.jpg,66.8,0.5063,0.6225,0.25,0.6,6,2,False,False
